Joueur;Poste;Cote;Enchère moy;Note;Note série;Note 1 an;Nb match;Nb match série;Nb match 1 an;Variation;Var série;Var 1 an;But;Buts série;Buts 1 an;%Titu;%Titu série;%Titu 1 an;Temps;Tps série;Tps 1 an;Tps moy;Tps moy série;Tps moy 1 an;Min/But;Min/But 1 an;Min note/but;Prix/but;j19;j18;j17;j16;j15;j14;j13;j12;j11;j10;j9;j8;j7;j6;j5;j4;j3;j2;j1;j38;j37;j36;j35;j34;j33;j32;j31;j30;j29;j28;j27;j26;j25;j24;j23;j22;j21;j20;Cleansheet;But/Peno;But/Coup-franc;But/surface;Pass decis.;Occas° créée;Corner gagné;%Passes;Ballons;Interceptions;Tacles;%Duel;Fautes;But évité;Action stoppée;DMI;Club;Prochain opposant;Date;Victoire probable;%Win+12J;%Win+16J;%Win+20J
Cissé Ibrahim;DC;13;17;5.22;5.5;5.42;18;4;33;0.77;0.41;0.77;0;0;0;1;1;1;1575;360;2909;87.5;90;88.15;;;;1000;5.5;5.5;6;5;0;5.5;6.5;4;6;4.5;4.5;5.5;4;5;5;5.5;4;6;6;0;6;0;5.5;0;0;6.5;6;5;6;5.5;5;6;5.5;7.5;5.5;5.5;5;4.5;;;;;;;;;;;;;;;;4;SM Caen;Laval;sam. 28/01 19:00;50;0.03701;0.15309;
Younoussa Wilitty;MD;9;9;5.22;5.25;4.97;9;4;16;0.44;0.5;0.72;0;0;0;0.67;0.5;0.75;487;185;895;54.11;46.25;55.94;;;;1000;5;6;5;5;0;0;0;5;5;5;6;0;5;0;0;0;0;0;0;0;0;0;0;3.5;0;0;0;0;0;0;5;0;0;4;4;6;5.5;4.5;;;;;;;;;;;;;;;;5;Rodez AF;Guingamp;sam. 28/01 19:00;50;0.08429;0.06903;
Lajugie Francois;DC;11;14;5.22;5.22;5.22;18;18;18;0.73;0.73;0.73;0;0;0;1;1;1;1595;1595;1595;88.61;88.61;88.61;;;;1000;6;5;5;5;5.5;5;4.5;4.5;7;4;4;5.5;6;5;5.5;5.5;5.5;5.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;4.5;FC Annecy;Pau FC;sam. 28/01 19:00;50;;;
Oukidja Alexandre;G;15;17;5.2;5.4;5.18;15;10;19;1.22;0.84;1.17;0;0;0;1;1;1;1273;900;1622;84.87;90;85.37;;;;1000;6;6;6;6;5;5;4;6;4;6;0;2.5;0;0;0;3.5;6;5;7;0;0;0;0;3.5;5.5;5.5;0;0;0;0;0;0;0;0;6;0;0;0;;;;;;;;;;;;;;;;6;FC Metz;Valenciennes;sam. 28/01 19:00;50;0.15089;0.2651;
Nestor Loïc;DC;5;6;5.2;0;5.3;5;0;22;0.76;0;1.02;0;0;2;0.8;0;0.95;378;0;1907;75.6;0;86.68;;954;7;1000;0;6;0;4.5;0;0;0;0;0;0;0;4.5;5;0;0;0;0;0;6;4;5;5.5;6;6;8;4;5;4.5;0;6;5.5;0;4.5;4;4.5;7;6;5;;;;;;;;;;;;;;;;4.5;Grenoble;SC Bastia;sam. 28/01 19:00;50;0.16931;0.24407;
Aaneba Ismaël;DC;16;20;5.18;5.18;5.16;17;17;31;0.79;0.79;0.8;0;0;0;1;1;0.97;1530;1530;2745;90;90;88.55;;;;1000;5;5;4;6;6;5;4;6;4.5;4;5.5;6;5.5;5;5.5;6.5;4.5;0;0;4.5;5;5.5;5;0;0;6;0;5.5;3.5;3.5;6;0;0;5;5;6;6;5.5;;;;;;;;;;;;;;;;4.5;Sochaux;Saint-Étienne;sam. 28/01 15:00;50;0.30204;0.38763;
Gelin Jérémy;DC;12;15;5.18;5.14;5.18;17;11;17;0.81;0.95;0.81;0;0;0;1;1;1;1451;965;1451;85.35;87.73;85.35;;;;1000;5.5;4;7;5;3.5;4.5;5.5;5;5;5.5;6;0;5;5;4.5;5.5;6;5.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;4.5;Amiens SC;Havre AC;sam. 28/01 19:00;50;0.27957;0.3298;
Gory Alimami;A;13;20;5.18;5.18;5.26;19;19;29;0.56;0.56;0.69;0;0;2;0.95;0.95;0.86;1479;1479;2070;77.84;77.84;71.38;;1035;7;1000;4.5;4.5;5.5;6;4.5;5;5;5.5;5;6;5;6.5;4.5;5.5;5;5;5;5.5;5;5.5;5.5;0;0;0;0;0;0;4.5;0;0;4.5;5;0;5;7;5;7;5;;;;;;;;;;;;;;;;5.25;Paris FC;Quevilly RM;sam. 28/01 19:00;50;0.52028;0.53199;
Placide Johny;G;15;15;5.18;5.35;5.2;17;10;32;1.38;1.31;1.22;0;0;0;1;1;1;1530;900;2835;90;90;88.59;;;;1000;6;5.5;6.5;6.5;5.5;6;5.5;3.5;2.5;6;0;0;6.5;2.5;4.5;3.5;6.5;5;6;0;0;0;0;5.5;4.5;7;4.5;6;6;6;4.5;4;6;4;4;6.5;4;6;;;;;;;;;;;;;;;;6.25;SC Bastia;Grenoble;sam. 28/01 19:00;50;;0.14062;
Opoku Nicholas;DC;12;15;5.17;5.1;5.09;15;5;23;0.92;1.08;0.76;0;0;0;1;1;0.83;1269;450;1681;84.6;90;73.09;;;;1000;5.5;5;6.5;5;3.5;0;0;0;4;6;6;0;6;5;5;6;5.5;5;3.5;4.5;0;5;5;5;5.5;5;5;0;4.5;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;5;Amiens SC;Havre AC;sam. 28/01 19:00;50;0.27957;0.3298;
