Joueur;Poste;Cote;Enchère moy;Note;Note série;Note 1 an;Nb match;Nb match série;Nb match 1 an;Variation;Var série;Var 1 an;But;Buts série;Buts 1 an;%Titu;%Titu série;%Titu 1 an;Temps;Tps série;Tps 1 an;Tps moy;Tps moy série;Tps moy 1 an;Min/But;Min/But 1 an;Min note/but;Prix/but;j19;j18;j17;j16;j15;j14;j13;j12;j11;j10;j9;j8;j7;j6;j5;j4;j3;j2;j1;j38;j37;j36;j35;j34;j33;j32;j31;j30;j29;j28;j27;j26;j25;j24;j23;j22;j21;j20;Cleansheet;But/Peno;But/Coup-franc;But/surface;Pass decis.;Occas° créée;Corner gagné;%Passes;Ballons;Interceptions;Tacles;%Duel;Fautes;But évité;Action stoppée;DMI;Club;Prochain opposant;Date;Victoire probable;%Win+12J;%Win+16J;%Win+20J
Muriel Luis;A;17;24;4.82;4.5;5.34;11;1;25;0.96;0;1.34;1;0;8;0.55;0;0.68;562;7;1534;51.09;7;61.36;562;192;6.5;17;4.5;0;0;4.5;0;0;0;0;4;5;7;6;4;4;0;0;5;5;4;0;4;7;5.5;8;5;6.5;5;5;5;4;0;0;4.5;0;0;5;7.5;8.5;3;1;;;2;5;8;0.7418;342;;3;30.23;8;;;4;Atalanta;Sampdoria;sam. 28/01 20:45;50;0.61511;0.62864;
Raspadori Giacomo;A;17;22;4.82;0;5.1;14;0;30;0.67;0;1.12;1;0;6;0.5;0;0.77;599;0;1996;42.79;0;66.53;599;333;6.5;17;0;4;5;4.5;0;5.5;0;4.5;0;4.5;5.5;4.5;4.5;6.5;5;4.5;5;0;4;4;5;6;3.5;6.5;5.5;5.5;4.5;0;3.5;0;5.5;7;0;3.5;6.5;5;8.5;5.5;3;;;;;;3;0.7896;390;2;5;34.09;5;;;0;Napoli;Roma;dim. 29/01 20:45;50;0.80235;0.81556;
Sansone Nicola;MO;5;5;4.8;0;4.88;10;0;21;0.89;0;0.88;1;0;3;0.5;0;0.33;420;0;749;42;0;35.67;420;250;6;5;0;6.5;3.5;0;0;0;0;4.5;0;4.5;4.5;4;0;0;4.5;6;5;0;5;0;5;4.5;0;6.5;0;5;0;0;4;5;4.5;6;0;4.5;3.5;0;0;6;1;;;;;;2;0.7321;195;;2;36.17;7;;;0;Bologna;Cremonese;lun. 23/01 18:30;52.08333333;0.46819;0.47112;0.46348
Zapata Duván;A;16;22;4.79;0;4.84;12;0;19;0.62;0;0.91;1;0;2;0.67;0;0.74;623;0;1137;51.92;0;59.84;623;569;6;16;0;5.5;4.5;4.5;5.5;6;4;4.5;4.5;0;0;0;0;0;0;4;5;4.5;5;6.5;4.5;0;3.5;7;4;5;0;0;0;0;0;0;0;0;0;0;0;4;2;;;;1;;4;0.6631;282;;1;46.15;6;;;5;Atalanta;Sampdoria;sam. 28/01 20:45;50;0.61511;0.62864;
Maehle Joakim;DL;9;10;4.79;5.25;4.9;17;2;26;0.53;0.35;0.75;1;1;2;0.59;0.5;0.5;954;93;1320;56.12;46.5;50.77;954;660;5.5;9;5.5;5;0;4.5;4;4.5;4;5.5;5;5;3.5;5;5;5;5;0;5;5;5;5;0;4.5;5;0;0;0;5;5;3.5;0;0;0;5;0;5.5;0;7.5;0;3;;;;1;;2;0.7958;773;9;11;44.44;8;;;5;Atalanta;Sampdoria;sam. 28/01 20:45;50;0.61511;0.62864;
Sernicola Leonardo;DL;10;;4.79;0;4.79;14;0;14;0.97;0;0.97;1;0;1;0.86;0;0.86;1084;0;1084;77.43;0;77.43;1084;1084;6;10;0;0;3.5;4.5;4;4.5;4.5;6;4.5;6.5;3.5;6;4;4.5;0;0;6;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.5;;;;1;1;11;0.7357;611;20;18;55.65;23;;;0;Cremonese;Bologna;lun. 23/01 18:30;23.92344498;0.25753;0.26186;0.26146
Zaniolo Nicolò;MO;11;14;4.77;0;4.92;13;0;25;0.63;0;0.84;1;0;2;0.92;0;0.8;897;0;1726;69;0;69.04;897;863;6.5;11;0;0;4;5;4.5;5;4.5;6.5;4.5;4.5;4.5;4.5;4.5;0;0;0;0;5.5;4.5;6;0;5;5;0;4;5;0;0;5;6;6;0;0;4.5;7;4;0;3.5;3;;;;;2;9;0.7201;412;2;5;36.24;22;;;4.25;Roma;Napoli;dim. 29/01 20:45;50;0.643;0.61903;
Dawidowicz Pawel;DC;9;10;4.77;5;4.81;11;6;13;0.75;0.63;0.69;1;0;1;0.91;1;0.77;749;443;758;68.09;73.83;58.31;749;758;5;9;5;5;6;5;4;5;0;5;0;0;0;0;5;0;5;4.5;0;0;3;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;5;0.7593;437;8;15;57.5;21;;;0;Verona;Udinese;lun. 30/01 20:45;50;0.38976;0.3992;
Valeri Emanuele;DL;11;11;4.76;0;4.76;17;0;17;0.71;0;0.71;1;0;1;0.88;0;0.88;1278;0;1278;75.18;0;75.18;1278;1278;6;11;0;4.5;5;4.5;5;5;5;5.5;4.5;5;3.5;5;3.5;6;5.5;5;3.5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.5;;;;1;1;15;0.6468;713;11;12;42.31;16;;;0;Cremonese;Bologna;lun. 23/01 18:30;23.92344498;0.25753;0.26186;0.26146
Günter Koray;DC;11;11;4.73;0;4.74;13;0;29;0.86;0;0.93;1;0;1;0.85;0;0.9;1002;0;2227;77.08;0;76.79;1002;2227;6;11;0;0;0;0;5.5;5;5;4;4.5;6;3.5;4.5;4.5;0;5.5;0;5.5;5;3;0;3.5;3.5;5;3;4;4.5;6;5;4.5;6;0;0;7;4.5;5;5;4.5;5;;;;;1;1;;0.7687;578;30;6;50.57;17;;;5.75;Verona;Udinese;lun. 30/01 20:45;50;0.38976;0.3992;
