Joueur;Poste;Cote;Enchère moy;Note;Note série;Note 1 an;Nb match;Nb match série;Nb match 1 an;Variation;Var série;Var 1 an;But;Buts série;Buts 1 an;%Titu;%Titu série;%Titu 1 an;Temps;Tps série;Tps 1 an;Tps moy;Tps moy série;Tps moy 1 an;Min/But;Min/But 1 an;Min note/but;Prix/but;j21;j20;j19;j18;j17;j16;j15;j14;j13;j12;j11;j10;j9;j8;j7;j6;j5;j4;j3;j2;j1;j38;j37;j36;j35;j34;j33;j32;j31;j30;j29;j28;j27;j26;j25;j24;j23;j22;Cleansheet;But/Peno;But/Coup-franc;But/surface;Pass decis.;Occas° créée;Corner gagné;%Passes;Ballons;Interceptions;Tacles;%Duel;Fautes;But évité;Action stoppée;DMI;Club;Prochain opposant;Date;Victoire probable;%Win+12J;%Win+16J;%Win+20J
Ramsey Jacob;MO;16;18;5.53;6;5.46;17;2;36;0.91;0;1.02;2;0;6;0.82;1;0.89;1196;171;2757;70.35;85.5;76.58;598;460;7;8;6;6;0;0;0;5;7.5;4.5;5.5;3.5;5;5.5;5.5;7;0;5.5;6;5;5;5.5;6;4;4.5;0;6;4.5;0;3.5;4.5;4.5;7;6;6;5.5;5.5;7.5;6;7;3.5;;;;2;1;7;0.8263;705;15;25;52.32;15;;;2.25;Aston Villa;Leicester;sam. 04/02 16:00;50;0.1158;0.18277;
Janelt Vitaly;MD;13;16;5.53;5.53;5.42;20;20;36;0.77;0.77;0.87;2;2;5;0.7;0.7;0.75;1318;1318;2436;65.9;65.9;67.67;659;487;4.5;6.5;4.5;5;5.5;5.5;6;5.5;5;5.5;4;5.5;6.5;4.5;6;5;0;7;6.5;6.5;5;5.5;6;6;5.5;0;4;6;5;6;8;4;6;0;5;5;5;0;4.5;0;3;;;;1;1;4;0.782;787;16;19;60.45;14;;;2.25;Brentford;Southampton;sam. 04/02 16:00;50;0.50093;0.0755;
Douglas Luiz;MD;12;14;5.5;5.56;5.35;19;18;40;1.25;1.26;1.13;2;2;4;0.79;0.83;0.85;1346;1338;3013;70.84;74.33;75.33;673;753;6.5;6;6.5;6;4;8;5;5.5;5.5;3.5;8;4;4.5;5.5;6.5;5.5;0;5;6.5;4.5;6;0;4.5;4;5;5;5;5;6.5;4;4.5;5.5;4.5;8;5.5;4.5;4.5;5;5.5;6;4;;;1;4;4;7;0.8641;1028;22;19;53.1;24;;;2.5;Aston Villa;Leicester;sam. 04/02 16:00;50;0.1158;0.18277;
Sancho Jadon;MO;18;24;5.45;0;5.48;10;0;26;1.14;0;1.02;2;0;4;1;0;0.85;722;0;1907;72.2;0;73.35;361;477;5.5;9;0;0;0;0;0;0;0;0;5;6.5;5.5;0;3.5;0;0;5.5;7;5.5;7;4.5;4.5;0;0;0;0;5;5.5;6;4.5;5;7;5.5;4.5;7.5;7;5.5;0;4.5;4.5;;;;1;;3;0.8223;378;4;1;38.3;3;;;7.5;Man. United;Leeds;mer. 25/01 21:30;67.56756757;0.04227;0.19394;
Tavernier Marcus;MO;15;17;5.4;0;5.4;15;0;15;1.34;0;1.34;2;0;2;1;0;1;1289;0;1289;85.93;0;85.93;645;645;7.5;7.5;0;0;0;0;0;7.5;7.5;5;4.5;4.5;6;5.5;5;6;0;5.5;5.5;3.5;3.5;4;7.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;;;;4;3;15;0.7639;780;4;16;47.69;12;;;0;Bournemouth;Brighton;sam. 04/02 16:00;50;0.28003;0.28299;
Jorginho;MD;19;24;5.36;6;5.56;18;2;31;0.72;0.71;0.88;2;0;4;0.83;1;0.87;1282;180;2294;71.22;90;74;641;574;6;9.5;6.5;5.5;0;5;6.5;4.5;5.5;0;6;5.5;5;6.5;4.5;0;5.5;4.5;4.5;5;4.5;5.5;6;0;6;0;4.5;6;7;0;0;0;6;7;5.5;5;0;5;6;0;5;2;;;;;;0.8273;1057;20;23;56.93;12;;;5.5;Chelsea;Liverpool;mer. 25/01 21:30;37.45318352;0.63229;;
Reed Harrison;MD;15;18;5.26;0;5.26;19;0;19;0.95;0;0.95;2;0;2;1;0;1;1576;0;1576;82.95;0;82.95;788;788;6.5;7.5;0;5.5;6;4;6;0;5.5;5.5;7;7;5;4.5;3.5;6.5;5;4.5;4.5;4.5;5;5.5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;;;;1;1;6;0.7658;865;12;14;41.67;18;;;4.5;Fulham;Tottenham;lun. 23/01 21:00;30.76923077;0.32597;0.34784;
Fred;MO;13;16;5.26;5.6;5.41;17;5;32;0.95;0.82;0.99;2;1;4;0.29;0.2;0.5;573;173;1484;33.71;34.6;46.38;287;371;6;6.5;4.5;6;6;5;6.5;0;0;4.5;5;8;5;0;5.5;0;5;5;5;4.5;5.5;4.5;4;4.5;0;5;5.5;0;0;4.5;6;0;7;4;5;6;0;0;6.5;6.5;1.5;;;1;;2;2;0.7554;486;11;10;42.86;14;;;6;Man. United;Leeds;mer. 25/01 21:30;67.56756757;0.04227;0.19394;
Lallana Adam;MO;11;13;5.25;5.23;5.23;16;13;26;0.88;0.95;0.95;2;2;2;0.75;0.69;0.69;728;524;1216;45.5;40.31;46.77;364;608;7;5.5;5;5.5;5;4;7;4.5;7;5.5;4;5.5;5;5.5;4.5;0;0;0;0;0;5;5;6;0;4.5;0;0;0;4.5;4.5;0;0;5;0;0;3.5;7;0;0;6;4;;;;1;;2;0.8231;389;2;5;47.46;2;;;6;Brighton;Crystal Palace;mer. 25/01 21:30;50;0.53974;0.10687;
Jensen Mathias;MD;13;15;5.25;5.25;5.1;20;20;40;1.16;1.16;0.93;2;2;2;1;1;0.85;1518;1518;2582;75.9;75.9;64.55;759;1291;7;6.5;5;7;6;5;4.5;5;6;5;3;5;5.5;3;6;4;0;6;5;5.5;5.5;8;5;5;6.5;6;4.5;5;5;4.5;4.5;5;5;0;5;5;4.5;5.5;5;0;4.5;;;;4;3;20;0.7407;1069;20;18;43.13;17;;;3.83;Brentford;Southampton;sam. 04/02 16:00;50;0.50093;0.0755;
