Joueur;Poste;Cote;Enchère moy;Note;Note série;Note 1 an;Nb match;Nb match série;Nb match 1 an;Variation;Var série;Var 1 an;But;Buts série;Buts 1 an;%Titu;%Titu série;%Titu 1 an;Temps;Tps série;Tps 1 an;Tps moy;Tps moy série;Tps moy 1 an;Min/But;Min/But 1 an;Min note/but;Prix/but;j19;j18;j17;j16;j15;j14;j13;j12;j11;j10;j9;j8;j7;j6;j5;j4;j3;j2;j1;j38;j37;j36;j35;j34;j33;j32;j31;j30;j29;j28;j27;j26;j25;j24;j23;j22;j21;j20;Cleansheet;But/Peno;But/Coup-franc;But/surface;Pass decis.;Occas° créée;Corner gagné;%Passes;Ballons;Interceptions;Tacles;%Duel;Fautes;But évité;Action stoppée;DMI;Club;Prochain opposant;Date;Victoire probable;%Win+12J;%Win+16J;%Win+20J;Dispo@MPGLaurent?
Diouf Yehvann;G;17;19;6.04;6.04;6.04;12;12;12;0.81;0.81;0.81;0;0;0;1;1;1;1080;1080;1080;90;90;90;;;;1000;6.5;6;6;6;6.5;6.5;7;5;6.5;6.5;4;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;;;;;;;;;;;;;27;20;6.5;Reims;Paris SG;dim. 29/01 20:45;50;0.49646;0.48842;;
Descamps Rémy;G;7;7;6;0;6;1;0;1;0;0;0;0;0;0;1;0;1;90;0;90;90;0;90;;;;1000;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;2;3;6,00;FC Nantes;Clermont;dim. 29/01 15:00;50;0.41769;0.45199;;
Ruiz-Atil Kays;MD;1;1;6;0;6;1;0;1;0;0;0;0;0;0;1;0;1;63;0;63;63;0;63;;;;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;0.8966;44;3;1;55.56;2;;;0;AJ Auxerre;Montpellier;dim. 29/01 15:00;50;0.36653;0.3581;;🏠Ecarté (2sem.)
Quilichini Ghjuvanni;G;3;4;6;0;6;1;0;1;0;0;0;0;0;0;0;0;0;81;0;81;81;0;81;;;;1000;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;3;1;0;AC Ajaccio;OL;dim. 29/01 17:05;50;0.3532;0.33573;;🏠Hors groupe (2sem.)
Blázquez Joaquín;G;7;8;6;0;6;1;0;1;0;0;0;0;0;0;1;0;1;90;0;90;90;0;90;;;;1000;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;;;;2;1;0;Brest;Angers SCO;dim. 29/01 15:00;50;0.35544;0.38726;;
López Pau;G;20;25;5.91;5.89;5.39;16;9;32;0.76;0.93;0.95;0;0;0;1;1;1;1440;810;2880;90;90;90;;;;1000;5;6;4;6;6;7;6;6;7;0;7;6;5.5;6;5.5;6;5.5;0;0;0;0;0;3.5;0;4.5;4.5;0;3.5;5.5;5;5.5;5;4;5.5;4;6;6;6;6;;;;;;;;;;;;;30;15;5.75;OM;AS Monaco;sam. 28/01 21:00;50;0.6442;0.65036;;
Boudaoui Hicham;MO;11;11;5.89;6.75;5.52;9;2;26;0.78;0.35;0.69;0;0;1;0.67;1;0.69;584;133;1509;64.89;66.5;58.04;;1509;6;1000;7;6.5;0;6;6;6;6.5;5;0;0;0;4.5;5.5;0;0;0;0;0;0;5.5;5.5;6;5.5;5;4.5;5.5;0;5;0;5.5;4.5;5;5.5;0;4.5;6;5;6.5;3;;;;1;2;4;0.8948;446;13;12;61.33;4;;;5.5;OGC Nice;LOSC;dim. 29/01 13:00;50;0.52477;0.53303;;
Matusiwa Azor;MD;14;15;5.81;6.09;5.69;13;11;29;1.01;0.74;1.01;0;0;1;1;1;1;1126;960;2484;86.62;87.27;85.66;;2484;8;1000;6;6;5;6.5;6;8;6;5.5;6;6;6;0;0;0;0;0;0;5;3.5;4.5;6.5;5;5.5;5;6;6;0;3.5;5.5;6;5;6;6.5;6;8;4.5;0;0;5;;;;;;;0.8179;777;26;26;58.33;21;;;5.25;Reims;Paris SG;dim. 29/01 20:45;50;0.49646;0.48842;;
Donnarumma Gianluigi;G;17;22;5.79;5.79;5.7;19;19;28;1.23;1.23;1.12;0;0;0;1;1;1;1710;1710;2520;90;90;90;;;;1000;6;5.5;3;6;6;4.5;4.5;6;7;7;4.5;6.5;7.5;5.5;7;5;8;5;5.5;0;5.5;0;4;0;0;4.5;6;5.5;5;0;0;6.5;0;0;6.5;0;6;0;10;;;;;;;;;;;;;31;23;7,00;Paris SG;Reims;dim. 29/01 20:45;50;0.78322;0.80856;;
Nübel Alexander;G;20;23;5.79;5.79;5.77;19;19;39;1.21;1.21;0.97;0;0;0;1;1;1;1710;1710;3510;90;90;90;;;;1000;5;5;7;6;3.5;7;6;4;6;6;5.5;6;7;7.5;5;6;3.5;7;7;6.5;5.5;6;6;6;5.5;5;4.5;5.5;7;5;6;6;5.5;5.5;6.5;4.5;5.5;7;6;;;;;;;;;;;;;47;26;4.75;AS Monaco;OM;sam. 28/01 21:00;50;0.64699;0.64421;;
Verratti Marco;MD;22;29;5.78;0;6.05;16;0;31;0.89;0;1.03;0;0;2;1;0;1;1240;0;2545;77.5;0;82.1;;1273;8.5;1000;0;0;4.5;4;6;5.5;6.5;7;5.5;5.5;0;6;5.5;5.5;7.5;5.5;5;6.5;6.5;7;7;4.5;4;6;0;6;7;0;6;0;7;0;6;5.5;7;8.5;7;6.5;8;;;;;1;2;0.9368;1644;16;31;55.8;19;;;7,00;Paris SG;Reims;dim. 29/01 20:45;50;0.78322;0.80856;;† Quadriceps
Samba Brice;G;18;24;5.76;5.76;5.76;19;19;19;0.56;0.56;0.56;0;0;0;1;1;1;1710;1710;1710;90;90;90;;;;1000;5.5;5.5;5.5;7;5.5;5.5;5.5;6.5;5.5;6;6;6.5;6;5.5;4.5;6;6;6;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;;;;;;;;;;;;;29;21;6,00;RC Lens;Troyes;sam. 28/01 17:00;50;0.62931;0.61914;;
Yoro Leny;DC;1;2;5.63;5.75;5.5;4;2;5;0.48;0.35;0.5;0;0;0;0.75;1;0.6;267;167;279;66.75;83.5;55.8;;;;1000;6;5.5;0;0;0;0;0;0;0;0;0;6;0;0;0;5;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;;;;;;;0.7907;260;10;1;66.67;4;;;5,00;LOSC;OGC Nice;dim. 29/01 13:00;50;0.60094;0.61564;;
Kouamé Rominigue;MD;16;18;5.62;0;5.64;17;0;32;0.98;0;0.91;0;0;0;1;0;1;1469;0;2751;86.41;0;85.97;;;;1000;0;4.5;5;6;6;6;5.5;5;0;5.5;5.5;7;5;6;6.5;8;4.5;4;5.5;6;5;5.5;6.5;6;0;5.5;6;6;4.5;7;7;6;4;5;5;0;0;0;1.5;;;;1;2;2;0.888;1037;30;15;56.6;26;;;5,00;Troyes;RC Lens;sam. 28/01 17:00;50;0.41205;0.37962;;Sursis (3sem.)
Camara Mohamed;MD;14;16;5.6;5.75;5.6;15;6;15;1.09;1.04;1.09;0;0;0;0.87;1;0.87;1117;495;1117;74.47;82.5;74.47;;;;1000;4.5;6;6;5;5.5;7.5;0;0;3.5;7;6.5;6;5.5;6.5;4;5.5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;;;;2;2;2;0.8895;862;14;25;60;25;;;5.5;AS Monaco;OM;sam. 28/01 21:00;50;0.64699;0.64421;;Suspendu
