Joueur;Poste;Cote;Enchère moy;Note;Note série;Note 1 an;Nb match;Nb match série;Nb match 1 an;Variation;Var série;Var 1 an;But;Buts série;Buts 1 an;%Titu;%Titu série;%Titu 1 an;Temps;Tps série;Tps 1 an;Tps moy;Tps moy série;Tps moy 1 an;Min/But;Min/But 1 an;Min note/but;Prix/but;j19;j18;j17;j16;j15;j14;j13;j12;j11;j10;j9;j8;j7;j6;j5;j4;j3;j2;j1;j38;j37;j36;j35;j34;j33;j32;j31;j30;j29;j28;j27;j26;j25;j24;j23;j22;j21;j20;Cleansheet;But/Peno;But/Coup-franc;But/surface;Pass decis.;Occas° créée;Corner gagné;%Passes;Ballons;Interceptions;Tacles;%Duel;Fautes;But évité;Action stoppée;DMI;Club;Prochain opposant;Date;Victoire probable;%Win+12J;%Win+16J;%Win+20J;Dispo@MPGLaurent?
Le Cardinal Julien;DL;5;9;5;5;5.12;2;1;29;0;0;0.98;0;0;3;0;0;0.93;3;1;2230;1.5;1;76.9;;743;6;1000;5;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.5;4.5;4;0;0;5;6;5;6;5;5.5;4.5;4;0;0;4;0;4.5;6;;;;;;;;0.75;11;1;1;100;;;;0;RC Lens;Troyes;sam. 28/01 17:00;50;0.62931;0.61914;;
Fila Karol;DL;3;3;5;0;4.96;2;0;12;0;0;0.33;0;0;0;0;0;0.25;45;0;299;22.5;0;24.92;;;;1000;0;0;0;0;5;0;0;0;0;0;5;0;0;0;0;0;0;0;0;4.5;5;5.5;0;0;5;0;0;5;0;0;0;0;0;4.5;5;4.5;5.5;0;;;;;;;;0.8604;46;1;;;;;;0;Strasbourg;Toulouse FC;dim. 29/01 15:00;50;0.49417;0.48132;;
Diarra Habib;MD;7;7;5;4.88;4.97;13;4;16;0.54;0.63;0.5;0;0;0;0.54;0.75;0.5;676;240;782;52;60;48.88;;;;1000;5;5;4;5.5;0;0;0;0;0;4.5;4.5;5.5;6;5.5;4.5;5;5;5;0;0;0;0;0;0;0;5;5;4.5;0;0;0;0;0;0;0;0;0;0;1.5;;;;;;2;0.7483;379;8;10;46.05;11;;;0;Strasbourg;Toulouse FC;dim. 29/01 15:00;50;0.49417;0.48132;;
Boateng Jérôme;DC;7;9;5;0;5;4;0;16;0.71;0;0.77;0;0;0;1;0;0.75;294;0;1009;73.5;0;63.06;;;;1000;0;0;0;0;0;5;5.5;5.5;4;0;0;0;0;0;0;0;0;0;0;0;4.5;3.5;6;5.5;0;5.5;0;5;0;0;5;0;0;0;3.5;0;6;5;1;;;;;;1;0.8135;180;4;;70;1;;;0;OL;AC Ajaccio;dim. 29/01 17:05;50;0.61889;0.62095;;🏠Hors groupe (2sem.)
Kandil Nordine;MO;3;6;5;0;4.83;3;0;6;0.5;0;0.41;0;0;0;0;0;0;36;0;94;12;0;15.67;;;;1000;0;0;0;0;0;0;0;0;0;0;5.5;4.5;5;0;0;0;0;0;0;4.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.5;5;0;;;;;;;;0.6091;39;1;2;57.14;1;;;0;Strasbourg;Toulouse FC;dim. 29/01 15:00;50;0.49417;0.48132;;
Doucet Lohann;MD;1;2;5;5;5;8;2;10;0;0;0;0;0;0;0;0;0;71;12;76;8.88;6;7.6;;;;1000;5;5;0;0;0;0;0;0;0;0;5;0;5;5;5;5;5;0;0;0;0;0;5;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;;;;;;;1;0.7022;81;2;;40;2;;;0;FC Nantes;Clermont;dim. 29/01 15:00;50;0.41769;0.45199;;
Achi Mohamed;MD;1;1;5;0;5;2;0;3;0;0;0;0;0;0;0;0;0;34;0;43;17;0;14.33;;;;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;1;0.9286;26;;1;20;2;;;0;FC Nantes;Clermont;dim. 29/01 15:00;50;0.41769;0.45199;;🏠Hors groupe (2sem.)
Poreba Lukasz;MD;6;6;5;0;5;6;0;6;0.45;0;0.45;0;0;0;0.5;0;0.5;222;0;222;37;0;37;;;;1000;0;5;4.5;0;0;0;0;0;5;0;0;0;4.5;5.5;5.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;1;;1;0.7392;134;2;4;45;8;;;4.5;RC Lens;Troyes;sam. 28/01 17:00;50;0.62931;0.61914;;
Massolin Yanis;MO;4;;5;5;5;3;1;3;0;0;0;0;0;0;0;0;0;39;3;39;13;3;13;;;;1000;5;0;0;0;0;5;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;0.7966;41;2;1;40;;;;0;Clermont;FC Nantes;dim. 29/01 15:00;50;0.42058;0.41947;;
Cissé Souleymane;DC;1;1;5;0;5;1;0;1;0;0;0;0;0;0;0;0;0;2;0;2;2;0;2;;;;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;3;;;100;;;;0;Clermont;FC Nantes;dim. 29/01 15:00;50;0.42058;0.41947;;† Incertain
Talbi Montassar;DC;11;12;5;5;5;19;19;19;1.01;1.01;1.01;0;0;0;1;1;1;1710;1710;1710;90;90;90;;;;1000;4;4.5;5.5;4;5.5;5;4;4.5;6;5;6;6;4.5;6;2.5;6;4;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.5;;;;1;1;1;0.8839;1087;17;12;67.46;12;;;6,00;FC Lorient;Rennes;ven. 27/01 21:00;50;0.45225;0.45573;;
Keita Cheick;DL;1;1;5;0;5;2;0;2;0;0;0;0;0;0;0.5;0;0.5;120;0;120;60;0;60;;;;1000;0;0;0;0;0;0;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;0.8572;53;;2;33.33;2;;;0;Reims;Paris SG;dim. 29/01 20:45;50;0.49646;0.48842;;🏠Hors groupe (2sem.)
Kamanzi Warren;DL;5;5;5;0;5;1;0;1;0;0;0;0;0;0;0;0;0;18;0;18;18;0;18;;;;1000;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;0.6;8;;;100;;;;0;Toulouse FC;Strasbourg;dim. 29/01 15:00;50;0.40019;0.41164;;
Pallois Nicolas;DC;12;13;4.97;0;5.22;16;0;30;1.02;0;0.91;0;0;1;1;0;1;1370;0;2535;85.63;0;84.5;;2535;7;1000;0;0;5.5;5;0;4;5;6.5;6;4;4;6;3;3.5;6;5.5;4.5;5.5;5.5;5.5;0;7;5;0;4.5;5;0;0;0;5;6;6;5.5;6.5;5;5;0;5.5;3;;;;;;;0.836;931;18;33;60.66;11;;;5,00;FC Nantes;Clermont;dim. 29/01 15:00;50;0.41769;0.45199;;† Entorse genou
Le Goff Vincent;DL;12;13;4.97;4.97;4.9;19;19;36;0.74;0.74;0.88;0;0;0;1;1;1;1710;1710;3240;90;90;90;;;;1000;4;5;5.5;4;5;5;4.5;5;6;5;5.5;5.5;5;6;3;5.5;4.5;5;5.5;5;6.5;4;4;4;5;5;4.5;3;5;6.5;3;6;5.5;5.5;0;0;5;0;3.5;;;;;;4;0.8197;1219;22;22;60.94;9;;;4.75;FC Lorient;Rennes;ven. 27/01 21:00;50;0.45225;0.45573;;
Jakobs Ismail;DL;10;10;4.97;5.15;4.94;16;10;31;0.69;0.71;0.62;0;0;0;0.25;0.2;0.29;471;237;1117;29.44;23.7;36.03;;;;1000;4.5;7;5;4.5;5;5;5.5;5;5;5;0;0;5;5;3.5;0;4.5;5;5;5;5;5;5.5;6;4.5;4.5;4.5;0;4;5;0;4;0;0;0;5;5;5.5;;;;;2;1;8;0.6286;384;2;2;42.86;3;;;5,00;AS Monaco;OM;sam. 28/01 21:00;50;0.64699;0.64421;;
van Bergen Mitchell;A;10;10;4.97;5.18;4.83;16;11;27;0.72;0.68;0.69;0;0;0;0.31;0.27;0.41;607;388;1132;37.94;35.27;41.93;;;;1000;5.5;4;5.5;4.5;6;6;5;6;4.5;5;5;0;5;4.5;0;4.5;0;3.5;5;4.5;5;0;0;4.5;0;4;5;4.5;0;3.5;0;5;4.5;4.5;6;0;0;0;1.5;;;;1;4;8;0.7228;272;4;5;38.24;7;;;5,00;Reims;Paris SG;dim. 29/01 20:45;50;0.49646;0.48842;;
Spadanuda Kevin;MD;6;8;4.95;0;4.95;10;0;10;0.37;0;0.37;0;0;0;0.6;0;0.6;461;0;461;46.1;0;46.1;;;;1000;0;0;0;0;0;0;5;0;5;0;5;0;5.5;5;4.5;5.5;4.5;5;4.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;2;0.72;182;5;4;35.94;12;;;4.5;AC Ajaccio;OL;dim. 29/01 17:05;50;0.3532;0.33573;;
Kimpembe Presnel;DC;7;11;4.94;0;5.15;8;0;24;0.68;0;1.01;0;0;1;0.88;0;0.96;613;0;2030;76.63;0;84.58;;2030;7.5;1000;0;0;0;0;5;0;5;0;0;0;0;0;4;5.5;0;4;6;5;5;5.5;0;4;4;5.5;0;5;5.5;5;3;7;0;5.5;4;6;7.5;0;6;5;2;;;;;;;0.9501;496;10;7;50;18;;;0;Paris SG;Reims;dim. 29/01 20:45;50;0.78322;0.80856;;† Talon d'Achille
Martin Jonas;MD;7;7;4.94;0;5.17;8;0;27;0.42;0;0.73;0;0;0;0.13;0;0.56;155;0;1432;19.38;0;53.04;;;;1000;0;0;0;0;5;0;0;0;5;5;4;5.5;0;0;0;5;5;5;0;4.5;4.5;4.5;6;5;5;5.5;5;5;5;6;6;5;0;5;7;4;7;4.5;;;;;;;;0.7928;177;5;6;47.06;7;;;0;LOSC;OGC Nice;dim. 29/01 13:00;50;0.60094;0.61564;;
Dingomé Tristan;MO;10;;4.94;0;5;8;0;19;0.18;0;0.44;0;0;0;0;0;0.21;91;0;499;11.38;0;26.26;;;;1000;0;0;5;0;5;0;5;0;5;5;0;0;0;0;5;5;4.5;0;0;0;0;5;6;0;5;4.5;5;5;5;5;0;6;5;0;0;0;4;0;;;;;;;1;0.5513;90;;2;38.46;1;;;0;Troyes;RC Lens;sam. 28/01 17:00;50;0.41205;0.37962;;🏠Hors groupe
Mavididi Stephy;A;10;12;4.94;0;4.95;9;0;21;0.85;0;1.24;0;0;3;0.89;0;0.86;573;0;1423;63.67;0;67.76;;474;8;1000;0;4;5;7;5;0;0;5;4.5;4.5;5;0;0;0;0;0;0;0;4.5;0;4;3.5;3.5;5;4;5;4.5;4.5;4.5;0;0;0;0;0;0;8;5;0;2.5;;;;;1;2;0.7276;249;;8;37.33;6;;;0;Montpellier;AJ Auxerre;dim. 29/01 15:00;50;0.40248;0.37552;;Sursis
Lotomba Jordan;DL;11;12;4.94;5.11;4.96;18;14;35;0.7;0.56;0.67;0;0;0;0.78;0.71;0.71;1292;965;2372;71.78;68.93;67.77;;;;1000;5;4.5;4.5;6;5.5;6;5;5;6;5;5;4.5;5;4.5;0;3;5;5;4.5;5.5;4;0;5;5.5;5;5;3.5;0;5;5.5;5;5.5;5;5;4;5.5;4.5;6;4;;;;1;;3;0.842;942;17;15;53.23;13;;;4,00;OGC Nice;LOSC;dim. 29/01 13:00;50;0.52477;0.53303;;
Taibi Waniss;MO;6;6;4.94;0;4.91;8;0;11;0.32;0;0.3;0;0;0;0.13;0;0.09;141;0;162;17.63;0;14.73;;;;1000;0;5;0;0;5;5;5;0;0;0;0;0;0;0;4.5;4.5;5.5;0;5;0;0;0;5;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;;;;;;;;0.9226;127;2;3;47.06;3;;;5.25;Angers SCO;Brest;dim. 29/01 15:00;50;0.36549;0.31823;;
Busi Maxime;DL;7;7;4.94;6;4.83;9;1;26;0.58;0;0.63;0;0;1;0.78;1;0.77;617;88;1869;68.56;88;71.88;;1869;4.5;1000;6;0;5;0;0;0;0;0;0;0;0;5;5;5;4;5.5;4.5;4.5;0;4;5;4.5;5;5;4.5;5;4.5;5.5;5;6;4.5;4.5;5.5;4.5;5;3;0;0;0.5;;;;1;2;3;0.6684;405;6;12;44.12;9;;;3,00;Reims;Paris SG;dim. 29/01 20:45;50;0.49646;0.48842;;
da Silva Damien;DC;9;9;4.93;0;5.08;7;0;18;0.35;0;0.43;0;0;0;0.43;0;0.72;335;0;1130;47.86;0;62.78;;;;1000;0;0;5;5;0;0;5.5;5;4.5;0;0;0;0;5;0;0;0;4.5;0;5.5;6;0;0;5;5.5;5;5;0;0;5;0;0;0;0;0;5.5;5.5;4.5;1;;;;;;2;0.8612;298;5;7;62.16;8;;;0;OL;AC Ajaccio;dim. 29/01 17:05;50;0.61889;0.62095;;🏠Hors groupe (2sem.)
Liénard Dimitri;MO;12;13;4.93;5;5.08;15;2;31;0.46;0;0.58;0;0;1;0.73;1;0.81;854;108;2005;56.93;54;64.68;;2005;6.5;1000;5;5;0;0;6;4.5;5;4.5;5;5;4;4.5;0;0;5;5;5;5.5;5;0;5;6;4.5;0;5;5;5;5.5;6;6;4.5;0;5;5;6.5;4;5;5.5;2;;;;;;5;0.7614;672;10;14;53.85;12;;;4.5;Strasbourg;Toulouse FC;dim. 29/01 15:00;50;0.49417;0.48132;;† Béquille?
Diarra Moussa;DC;11;11;4.93;5.7;4.93;15;5;28;0.98;0.97;0.81;0;0;0;0.53;0.6;0.43;828;334;1260;55.2;66.8;45;;;;1000;5;7;6.5;5;5;0;3;5;5;5;5;4;5.5;0;4;0;4;5;0;5;0;0;0;0;5;0;5;4.5;6;3.5;5;0;4.5;4.5;5.5;5;5.5;5;3;;;;1;1;;0.8392;533;17;8;56.41;13;;;5,00;Toulouse FC;Strasbourg;dim. 29/01 15:00;50;0.40019;0.41164;;
Matsima Chrislain;DC;9;9;4.92;4.5;5;6;1;11;0.2;0;0.22;0;0;0;0.33;1;0.18;223;90;293;37.17;90;26.64;;;;1000;4.5;0;5;5;5;0;0;0;0;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;5.5;5;0;0;0;0;5;5;;;;;;;;0.6613;147;2;1;45.45;;;;0;FC Lorient;Rennes;ven. 27/01 21:00;50;0.45225;0.45573;;
Assignon Lorenz;DL;3;4;4.92;5;5.09;6;1;16;0.2;0;0.55;0;0;0;0.33;0;0.31;191;14;519;31.83;14;32.44;;;;1000;5;0;0;0;0;0;0;0;5;0;4.5;5;0;5;5;0;0;0;0;5;5;0;5;7;0;5;5;0;0;0;0;0;0;5;0;4.5;5.5;5;;;;;1;1;;0.7343;143;2;2;45.45;2;;;7,00;Rennes;FC Lorient;ven. 27/01 21:00;50;0.61516;0.64509;;
Birmancevic Veljko;A;9;9;4.92;4.94;4.92;12;9;12;0.47;0.53;0.47;0;0;0;0.08;0.11;0.08;241;179;241;20.08;19.89;20.08;;;;1000;5;5;5;6;5;4;4.5;5;5;0;0;5;5;4.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;1;4;0.7077;133;3;4;41.67;2;;;5,00;Toulouse FC;Strasbourg;dim. 29/01 15:00;50;0.40019;0.41164;;
Thioub Sada;A;8;8;4.91;0;4.83;16;0;32;0.58;0;0.67;0;0;0;0.25;0;0.44;448;0;1328;28;0;41.5;;;;1000;0;5;0;5;5;5;0;5;5;5;5;4.5;5;4.5;4;4;4.5;6.5;5.5;4.5;0;5;5;0;4;5;3;4;4.5;5;6;5;4;6;5;5;5;0;0.5;;;;1;4;2;0.8223;319;2;8;33.33;4;;;4.5;Angers SCO;Brest;dim. 29/01 15:00;50;0.36549;0.31823;;
Ogier Florent;DC;9;9;4.91;0;4.67;11;0;23;1.04;0;0.94;0;0;0;0.73;0;0.83;762;0;1674;69.27;0;72.78;;;;1000;0;5;5.5;0;0;4.5;4;0;0;5;0;5;0;0;6;4.5;6;6;2.5;4;0;5.5;3.5;4;5.5;5;5;4.5;3.5;0;0;5.5;0;0;0;0;3.5;0;3;;;;1;1;;0.8441;497;6;7;52.54;6;;;4.25;Clermont;FC Nantes;dim. 29/01 15:00;50;0.42058;0.41947;;
Kamara Bingourou;G;7;10;4.9;0;4.9;5;0;5;1.85;0;1.85;0;0;0;0.8;0;0.8;407;0;407;81.4;0;81.4;;;;1000;0;0;0;0;0;7.5;3.5;6;0;0;3;0;4.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;10;4;0;Montpellier;AJ Auxerre;dim. 29/01 15:00;50;0.40248;0.37552;;
Weah Timothy;A;9;10;4.9;4.9;5.06;10;10;24;0.74;0.74;1.18;0;0;3;0.4;0.4;0.54;415;415;1269;41.5;41.5;52.88;;423;8;1000;5.5;4.5;4.5;4.5;5.5;5;4.5;4.5;6.5;4;0;0;0;0;0;0;0;0;0;8;8;5;4.5;7;5;4;0;0;4.5;4.5;0;4;5;5;3.5;4.5;0;0;2.5;;;;2;2;4;0.7276;303;4;4;40.54;6;;;8,00;LOSC;OGC Nice;dim. 29/01 13:00;50;0.60094;0.61564;;
M'Changama Youssouf;MD;9;9;4.9;5;5.5;15;5;30;0.51;0.5;1.01;0;0;5;0.27;0.2;0.6;491;203;1742;32.73;40.6;58.07;;348;7;1000;5.5;5.5;4.5;5;4.5;0;0;0;0;5;5;5.5;5;5;4.5;5;5;5;3.5;7;7;5;7;6;5;5.5;6.5;8.5;7;5.5;5;5.5;0;6;5;0;0;0;1;;;;;2;2;0.8219;342;5;4;57.69;5;;;5,00;AJ Auxerre;Montpellier;dim. 29/01 15:00;50;0.36653;0.3581;;
Estève Maxime;DC;12;12;4.9;0;4.9;15;0;26;0.91;0;1.02;0;0;0;0.73;0;0.81;1061;0;1968;70.73;0;75.69;;;;1000;0;3.5;3.5;6;6;4;0;4.5;5;4;0;5.5;5;4.5;6.5;5.5;5;0;5;0;3;5.5;4.5;5.5;4;5.5;5;4;7.5;5.5;4;0;0;0;0;0;0;0;2;;;;;;1;0.7903;611;26;10;60;12;;;5,00;Montpellier;AJ Auxerre;dim. 29/01 15:00;50;0.40248;0.37552;;† Incertain
Gudmundsson Gabriel;DL;1;3;4.9;0;4.98;5;0;24;0.42;0;0.73;0;0;1;0.2;0;0.58;106;0;1124;21.2;0;46.83;;1124;7;1000;0;0;0;0;0;0;0;0;0;0;0;0;5.5;0;5;5;4.5;4.5;0;5;4.5;4.5;5;6;5;5;5;4.5;6;5.5;4.5;7;5;5;3;5;4.5;0;;;;;;;2;0.7598;64;2;3;68.42;2;;;4.75;LOSC;OGC Nice;dim. 29/01 13:00;50;0.60094;0.61564;;
Zandén Oliver;DL;3;5;4.9;0;4.9;5;0;5;0.55;0;0.55;0;0;0;0.2;0;0.2;143;0;143;28.6;0;28.6;;;;1000;0;0;0;0;0;0;0;0;5;0;0;0;5;5;4;5.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;0.6976;100;1;1;57.14;3;;;0;Toulouse FC;Strasbourg;dim. 29/01 15:00;50;0.40019;0.41164;;
Abdelhamid Yunis;DC;13;14;4.89;4.89;4.84;19;19;35;1.14;1.14;1.06;0;0;1;1;1;1;1710;1710;3074;90;90;87.83;;3074;6;1000;5.5;6;4;5;6;6;5;6.5;5.5;6;5;3.5;4.5;5;5;5;4.5;3;2;3.5;5.5;5;5;4.5;6;0;3.5;4.5;5.5;6.5;4;0;0;3.5;6;3.5;4.5;0;4;;;;;;3;0.7957;1135;39;28;57.14;26;;;4.75;Reims;Paris SG;dim. 29/01 20:45;50;0.49646;0.48842;;
Aguilar Ruben;DL;9;9;4.89;0;5.24;9;0;23;0.33;0;0.72;0;0;0;0.56;0;0.74;418;0;1560;46.44;0;67.83;;;;1000;0;0;5;5;0;5;0;0;0;0;0;5;5;5;4;5;0;0;5;5;6;5.5;5;0;5;5.5;6;5;7.5;0;0;0;0;5;6;4;6;5;2;;;;;;1;0.7678;339;9;3;45.95;5;;;0;AS Monaco;OM;sam. 28/01 21:00;50;0.64699;0.64421;;
Dagba Colin;DL;8;10;4.89;0;4.85;9;0;10;0.22;0;0.24;0;0;0;0.67;0;0.7;466;0;535;51.78;0;53.5;;;;1000;0;0;0;0;0;5;5;5;5;5;4.5;0;4.5;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.5;1.5;;;;;;2;0.8781;359;10;8;52.83;8;;;5,00;Strasbourg;Toulouse FC;dim. 29/01 15:00;50;0.49417;0.48132;;
Delaine Thomas;DL;9;11;4.88;0;4.83;12;0;29;0.83;0;0.92;0;0;1;0.67;0;0.79;714;0;2062;59.5;0;71.1;;2062;5;1000;0;0;0;0;5;2.5;5;5;5;5;5;0;0;0;5;5;6;4.5;5.5;0;5;5;5;4.5;5;4.5;3;4.5;0;0;5;4.5;5;4;4.5;5.5;8;4;3;;;;1;2;7;0.6964;473;5;8;53.42;13;;;5,00;Strasbourg;Toulouse FC;dim. 29/01 15:00;50;0.49417;0.48132;;† T. d'Achille (2sem.)
Kalulu Gédéon;DL;11;13;4.88;4.43;4.94;16;7;33;0.92;0.35;0.83;0;0;0;1;1;0.94;1440;630;2814;90;90;85.27;;;;1000;4.5;4.5;5;4.5;4.5;4;4;0;0;0;5.5;5.5;5.5;5;3;5;4.5;6;7;6;4.5;4.5;6;5;5;5.5;6;5;5;4;6;5;0;0;4;3.5;5;5;3;;;;3;2;10;0.7998;991;20;15;58.82;13;;;7,00;FC Lorient;Rennes;ven. 27/01 21:00;50;0.45225;0.45573;;
Meling Birger;DL;9;9;4.88;5;5.1;13;4;29;0.3;0;0.63;0;0;0;0.23;0.25;0.38;421;146;1183;32.38;36.5;40.79;;;;1000;5;5;5;5;0;4;5;5;5;0;5;0;5;5;4.5;5;0;0;0;0;5;5;5;5;0;4;5;5;6;5;5.5;5.5;7.5;5;5.5;4.5;6;0;1;;;;;;1;0.7681;362;8;7;45.83;12;;;5,00;Rennes;FC Lorient;ven. 27/01 21:00;50;0.61516;0.64509;;Sursis (2sem.)
Carlos Baleba;MD;7;7;4.88;5.5;4.88;8;2;8;0.64;0.71;0.64;0;0;0;0.25;1;0.25;201;140;201;25.13;70;25.13;;;;1000;6;5;0;0;4;5;0;5;4;5;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;;;;;;;0.8456;207;1;6;45.65;9;;;0;LOSC;OGC Nice;dim. 29/01 13:00;50;0.60094;0.61564;;Suspendu
Ilie Rares;A;1;2;4.88;0;4.88;4;0;4;0.63;0;0.63;0;0;0;0.5;0;0.5;148;0;148;37;0;37;;;;1000;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;4;0;5.5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;3;0.8338;92;1;3;41.67;;;;0;OGC Nice;LOSC;dim. 29/01 13:00;50;0.52477;0.53303;;
Touré Birama;MD;12;14;4.87;4.87;5.26;19;19;38;1.08;1.08;0.94;0;0;0;1;1;1;1694;1694;3404;89.16;89.16;89.58;;;;1000;3.5;3;4.5;5.5;3;5;6;4.5;5;5;5.5;5;3.5;5.5;5.5;7;5.5;6;4;6;6;6.5;5;5;5.5;6.5;5.5;5;5.5;5.5;6;6.5;5.5;4.5;5.5;6;5.5;6;2;;;;;;3;0.8257;1024;36;21;48.31;27;;;5.5;AJ Auxerre;Montpellier;dim. 29/01 15:00;50;0.36653;0.3581;;
Baldé Thierno;DL;9;10;4.87;4.38;5.02;15;4;30;0.74;0.95;0.85;0;0;0;0.93;1;0.97;1161;360;2498;77.4;90;83.27;;;;1000;3;4.5;5;5;0;5.5;4;4.5;5;0;4.5;0;5;5;6;6;5;5;0;4;5;0;5;7;6;5;0;3.5;0;6;5.5;6.5;0;4;5;5;5;5;1.5;;;;;;4;0.862;704;15;11;59.6;3;;;5,00;Troyes;RC Lens;sam. 28/01 17:00;50;0.41205;0.37962;;
Bernardoni Paul;G;13;13;4.86;5.38;4.9;11;4;30;1.31;0.75;1.18;0;0;0;1;1;1;990;360;2700;90;90;90;;;;1000;5;6;6;4.5;0;0;0;5;0;0;0;0;0;2;3.5;6.5;4.5;4.5;6;6;6;3;4;3.5;5.5;6;3;5;6;6;6;4;5;5.5;5;6;5;0;1;;;;;;;;;;;;;23;17;4.5;Angers SCO;Brest;dim. 29/01 15:00;50;0.36549;0.31823;;
Diakité Bafodé;DC;12;12;4.86;5.19;4.98;18;8;31;0.76;0.53;0.86;0;0;1;0.89;1;0.84;1474;714;2387;81.89;89.25;77;;2387;7;1000;6;5.5;5.5;5.5;5;5;4.5;4.5;0;5;4.5;3.5;4.5;5;6;4.5;3;5;5;4.5;0;4.5;0;0;0;5;7;5;5;3;5;0;6.5;5;5.5;0;5;6;7.5;;;;;1;6;0.8574;1262;7;21;47.55;24;;;6,00;LOSC;OGC Nice;dim. 29/01 13:00;50;0.60094;0.61564;;
Baiye Brandon;MD;6;;4.86;0;4.86;7;0;7;0.24;0;0.24;0;0;0;0;0;0;45;0;45;6.43;0;6.43;;;;1000;0;0;5;0;4.5;0;0;0;0;5;5;0;0;0;5;0;0;5;4.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;0.9286;45;1;2;57.14;;;;0;Clermont;FC Nantes;dim. 29/01 15:00;50;0.42058;0.41947;;
Gravillon Andreaw;DC;11;12;4.85;0;4.8;13;0;22;0.77;0;0.75;0;0;0;0.92;0;0.86;1040;0;1664;80;0;75.64;;;;1000;0;0;5;0;0;0;5;0;6;5;4.5;4.5;4.5;6;5.5;5;5;3.5;3.5;0;5;4;5.5;4.5;5.5;5.5;0;0;0;0;0;0;0;0;0;3.5;4;0;1;;;;;1;3;0.7787;595;21;8;53.85;18;;;4.25;Reims;Paris SG;dim. 29/01 20:45;50;0.49646;0.48842;;
Bard Melvin;DL;10;12;4.85;5.13;5.01;17;4;34;0.72;1.18;0.84;0;0;1;0.82;1;0.85;1285;359;2544;75.59;89.75;74.82;;2544;6.5;1000;6;6;3.5;5;0;0;5.5;5;5;4.5;4;5;5;4.5;5;3.5;5;5.5;4.5;4.5;4;6.5;6;5;5;5;3.5;5;5;6;6.5;5;7;4.5;4.5;0;0;0;2;;;;;1;3;0.8021;963;26;31;58.5;14;;;4.5;OGC Nice;LOSC;dim. 29/01 13:00;50;0.52477;0.53303;;
Zeffane Mehdi;DL;1;1;4.83;5;4.83;3;2;3;0.29;0;0.29;0;0;0;0;0;0;34;15;34;11.33;7.5;11.33;;;;1000;5;5;0;0;0;0;0;0;0;0;4.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;0.8667;14;1;;;1;;;0;Clermont;FC Nantes;dim. 29/01 15:00;50;0.42058;0.41947;;
Gallon Gauthier;G;7;10;4.83;0;5.07;12;0;22;0.78;0;1.23;0;0;0;1;0;1;1080;0;1980;90;0;90;;;;1000;0;0;0;0;0;4.5;5.5;0;0;5;4;5;5;6;6;5;4.5;3.5;4;0;4;0;0;0;0;0;0;7;5.5;6;7;5.5;4;2;5.5;0;7;0;;;;;;;;;;;;;;21;12;4.5;Troyes;RC Lens;sam. 28/01 17:00;50;0.41205;0.37962;;
