Joueur;Poste;Cote;Enchère moy;Note;Note série;Note 1 an;Nb match;Nb match série;Nb match 1 an;Variation;Var série;Var 1 an;But;Buts série;Buts 1 an;%Titu;%Titu série;%Titu 1 an;Temps;Tps série;Tps 1 an;Tps moy;Tps moy série;Tps moy 1 an;Min/But;Min/But 1 an;Min note/but;Prix/but;j18;j17;j16;j15;j14;j13;j12;j11;j10;j9;j8;j7;j6;j5;j4;j3;j2;j1;j38;j37;j36;j35;j34;j33;j32;j31;j30;j29;j28;j27;j26;j25;j24;j23;j22;j21;j20;j19;Cleansheet;But/Peno;But/Coup-franc;But/surface;Pass decis.;Occas° créée;Corner gagné;%Passes;Ballons;Interceptions;Tacles;%Duel;Fautes;But évité;Action stoppée;DMI;Club;Prochain opposant;Date;Victoire probable;%Win+12J;%Win+16J;%Win+20J
Moreno Alberto;DL;9;9;4.89;5;5.16;9;1;16;0.7;0;0.85;0;0;1;0.67;0;0.75;520;4;1015;57.78;4;63.44;;1015;7;1000;5;0;6;4.5;5.5;3.5;4.5;5;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;4.5;5.5;6.5;5.5;4.5;7;0;2;;;;;1;3;0.835;359;11;3;39.58;11;;;0;Villarreal;Rayo Vallecano;lun. 30/01 21:00;50;0.27139;0.36458;0.42284
Tapia Renato;MD;8;8;4.89;4.83;4.87;14;3;27;0.81;0.29;0.61;0;0;0;0.5;0;0.3;650;9;969;46.43;3;35.89;;;;1000;4.5;5;5;0;6;0;4;5;4.5;0;0;5;3.5;5.5;5.5;6;3.5;5.5;0;5;5.5;5;4.5;0;4.5;0;5;4.5;5;0;0;4.5;5;4.5;5;5;0;0;1.5;;;;;1;;0.8368;479;11;12;58.67;9;;;4.5;Celta;Athletic;dim. 29/01 18:30;50;0.09049;0.18955;0.23519
Nteka Randy;MO;7;;4.89;5;4.72;9;1;27;0.55;0;0.58;0;0;0;0;0;0.37;95;23;895;10.56;23;33.15;;;;1000;5;0;5;0;5;0;0;3.5;5.5;0;5;0;0;5;0;5;5;0;4;5;5;4;4.5;5;5;5;5;5;4.5;5;5;0;4;3.5;5;3.5;5.5;0;;;;;;;;0.7945;86;1;2;52.17;1;;;5;Rayo Vallecano;Villarreal;lun. 30/01 21:00;50;0.36677;0.38231;0.38115
Gorosabel Andoni;DL;10;10;4.88;0;5;13;0;29;0.51;0;0.83;0;0;0;0.62;0;0.69;739;0;1836;56.85;0;63.31;;;;1000;0;5;0;5;0;5;4;5;5;5;0;4.5;5;5;4;6;5;0;4;6.5;6.5;6;6;5;5;5;5.5;5.5;5;3;0;3;5.5;5;0;0;5;0;2;;;;;1;2;0.8608;551;7;9;50;7;;;3;Real Sociedad;Real Madrid;dim. 29/01 21:00;50;0.63972;0.614;0.05412
Zarraga Oier;MO;8;8;4.88;5.13;4.88;13;4;29;0.62;0.63;0.61;0;0;1;0.23;0.5;0.24;408;190;1050;31.38;47.5;36.21;;1050;6.5;1000;5;5;6;4.5;0;5.5;0;3.5;4.5;5;0;4.5;4.5;5.5;0;0;5;5;5;5;4.5;5;5;5;4.5;4.5;4.5;0;4.5;6.5;4;0;4.5;4.5;6;0;5;0;0.5;;;;;;5;0.7036;228;2;4;44.74;6;;;4.5;Athletic;Celta;dim. 29/01 18:30;50;;0.13184;0.21663
Delaney Thomas;MD;7;;4.88;0;5.16;8;0;19;0.35;0;0.47;0;0;1;0.25;0;0.47;306;0;1059;38.25;0;55.74;;1059;6;1000;0;0;0;0;5;0;0;5;4.5;0;4.5;4.5;0;0;5;5.5;0;5;6;5.5;5;5;4.5;5;0;0;0;5.5;6;0;5.5;5.5;5.5;0;0;0;0;0;;;;;;;;0.8619;198;4;2;62.07;4;;;5.5;Sevilla;Elche;sam. 28/01 18:30;50;0.23486;0.32404;0.34716
Terrats Ramón;MD;5;;4.88;0;4.88;8;0;8;0.23;0;0.23;0;0;0;0.25;0;0.25;211;0;211;26.38;0;26.38;;;;1000;0;5;5;0;5;5;0;0;0;0;5;0;0;0;0;4.5;4.5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;2;0.7083;140;3;3;31.25;3;;;0;Girona;Barcelona;sam. 28/01 16:15;50;0.27482;0.28437;0.2994
Juan Cruz;DL;10;14;4.87;0;4.77;15;0;28;0.64;0;0.84;0;0;0;0.87;0;0.93;1172;0;2294;78.13;0;81.93;;;;1000;0;0;5;4;4;0;5;5.5;5;5;4.5;5;4;6;4.5;4.5;6;5;0;4;5;5;4;0;0;0;4;5.5;0;5.5;0;3;6;0;6;4;5.5;3;2.5;;;;;1;2;0.8037;670;9;10;53.13;10;;;3;Osasuna;Atlético;dim. 29/01 16:15;50;0.47131;;0.09479
Berchiche Yuri;DL;9;10;4.85;4.88;5.23;10;4;24;0.82;0.48;0.92;0;0;1;0.9;1;0.83;799;360;1814;79.9;90;75.58;;1814;6.5;1000;4.5;4.5;5;5.5;0;4.5;6;3;5;0;0;0;0;0;0;0;5;5.5;5;5.5;5;6;6;5.5;3.5;0;7;6.5;4.5;5;0;6.5;6;0;5;0;0;0;3.5;;;;1;1;5;0.8391;646;15;12;54.76;12;;;3.5;Athletic;Celta;dim. 29/01 18:30;50;;0.13184;0.21663
Manu Trigueros;MO;12;;4.85;4.85;5.28;10;10;27;0.34;0.34;0.84;0;0;2;0.3;0.3;0.56;346;346;1417;34.6;34.6;52.48;;709;6;1000;5;4.5;5;4.5;5.5;4.5;5;5;5;4.5;0;0;0;0;0;0;0;0;5.5;5;7;4.5;5.5;4.5;7;5;4.5;0;5.5;5;7;7;5;5.5;6;0;4.5;0;1;;;;;;2;0.9143;223;1;4;36.36;6;;;7;Villarreal;Rayo Vallecano;lun. 30/01 21:00;50;0.27139;0.36458;0.42284
